Item Index,Item Name,File,Offset,Value (HEX),Value,Notes
1,Potion,btltbl.bin,1A58,1F 00,31,Item Name
1,Potion,btltbl.bin,1A5A,00,0,Item Icon
1,Potion,btltbl.bin,1A5B,00,0,???
1,Potion,btltbl.bin,1A5C,00 00,0,???
1,Potion,btltbl.bin,1A5E,1E 00,30,???
1,Potion,btltbl.bin,1A60,3C 00,60,Buy Price
1,Potion,btltbl.bin,1A62,0C 00,12,Sell Price
1,Potion,btltbl.bin,1A64,70 DA,55920,???
1,Potion,btltbl.bin,1A66,00 00,0,???
1,Potion,btltbl.bin,1A68,01 00 00 00,1,Sort Order
2,Hi-Potion,btltbl.bin,1A6C,20 00,32,Item Name
2,Hi-Potion,btltbl.bin,1A6E,00,0,Item Icon
2,Hi-Potion,btltbl.bin,1A6F,01,1,???
2,Hi-Potion,btltbl.bin,1A70,00 00,0,???
2,Hi-Potion,btltbl.bin,1A72,3C 00,60,???
2,Hi-Potion,btltbl.bin,1A74,96 00,150,Buy Price
2,Hi-Potion,btltbl.bin,1A76,1E 00,30,Sell Price
2,Hi-Potion,btltbl.bin,1A78,98 DA,55960,???
2,Hi-Potion,btltbl.bin,1A7A,00 00,0,???
2,Hi-Potion,btltbl.bin,1A7C,02 00 00 00,2,Sort Order
3,Ether,btltbl.bin,1A80,21 00,33,Item Name
3,Ether,btltbl.bin,1A82,00,0,Item Icon
3,Ether,btltbl.bin,1A83,00,0,???
3,Ether,btltbl.bin,1A84,00 00,0,???
3,Ether,btltbl.bin,1A86,03 00,3,???
3,Ether,btltbl.bin,1A88,C8 00,200,Buy Price
3,Ether,btltbl.bin,1A8A,28 00,40,Sell Price
3,Ether,btltbl.bin,1A8C,C0 DA,56000,???
3,Ether,btltbl.bin,1A8E,00 00,0,???
3,Ether,btltbl.bin,1A90,03 00 00 00,3,Sort Order
4,Elixir,btltbl.bin,1A94,22 00,34,Item Name
4,Elixir,btltbl.bin,1A96,00,0,Item Icon
4,Elixir,btltbl.bin,1A97,02,2,???
4,Elixir,btltbl.bin,1A98,00 00,0,???
4,Elixir,btltbl.bin,1A9A,FF 00,255,???
4,Elixir,btltbl.bin,1A9C,00 00,0,Buy Price
4,Elixir,btltbl.bin,1A9E,50 00,80,Sell Price
4,Elixir,btltbl.bin,1AA0,E8 DA,56040,???
4,Elixir,btltbl.bin,1AA2,00 00,0,???
4,Elixir,btltbl.bin,1AA4,04 00 00 00,4,Sort Order
5,BO5,btltbl.bin,1AA8,23 00,35,Item Name
5,BO5,btltbl.bin,1AAA,00,0,Item Icon
5,BO5,btltbl.bin,1AAB,00,0,???
5,BO5,btltbl.bin,1AAC,00 00,0,???
5,BO5,btltbl.bin,1AAE,00 00,0,???
5,BO5,btltbl.bin,1AB0,00 00,0,Buy Price
5,BO5,btltbl.bin,1AB2,00 00,0,Sell Price
5,BO5,btltbl.bin,1AB4,40 CC,52288,???
5,BO5,btltbl.bin,1AB6,00 00,0,???
5,BO5,btltbl.bin,1AB8,10 27 00 00,10000,Sort Order
6,Mega-Potion,btltbl.bin,1ABC,24 00,36,Item Name
6,Mega-Potion,btltbl.bin,1ABE,00,0,Item Icon
6,Mega-Potion,btltbl.bin,1ABF,01,1,???
6,Mega-Potion,btltbl.bin,1AC0,01 00,1,???
6,Mega-Potion,btltbl.bin,1AC2,1E 00,30,???
6,Mega-Potion,btltbl.bin,1AC4,00 00,0,Buy Price
6,Mega-Potion,btltbl.bin,1AC6,28 00,40,Sell Price
6,Mega-Potion,btltbl.bin,1AC8,18 DB,56088,???
6,Mega-Potion,btltbl.bin,1ACA,00 00,0,???
6,Mega-Potion,btltbl.bin,1ACC,06 00 00 00,6,Sort Order
7,Mega-Ether,btltbl.bin,1AD0,25 00,37,Item Name
7,Mega-Ether,btltbl.bin,1AD2,00,0,Item Icon
7,Mega-Ether,btltbl.bin,1AD3,01,1,???
7,Mega-Ether,btltbl.bin,1AD4,01 00,1,???
7,Mega-Ether,btltbl.bin,1AD6,03 00,3,???
7,Mega-Ether,btltbl.bin,1AD8,00 00,0,Buy Price
7,Mega-Ether,btltbl.bin,1ADA,3C 00,60,Sell Price
7,Mega-Ether,btltbl.bin,1ADC,48 DB,56136,???
7,Mega-Ether,btltbl.bin,1ADE,00 00,0,???
7,Mega-Ether,btltbl.bin,1AE0,07 00 00 00,7,Sort Order
8,Megalixir,btltbl.bin,1AE4,26 00,38,Item Name
8,Megalixir,btltbl.bin,1AE6,00,0,Item Icon
8,Megalixir,btltbl.bin,1AE7,02,2,???
8,Megalixir,btltbl.bin,1AE8,01 00,1,???
8,Megalixir,btltbl.bin,1AEA,FF 00,255,???
8,Megalixir,btltbl.bin,1AEC,00 00,0,Buy Price
8,Megalixir,btltbl.bin,1AEE,64 00,100,Sell Price
8,Megalixir,btltbl.bin,1AF0,78 DB,56184,???
8,Megalixir,btltbl.bin,1AF2,00 00,0,???
8,Megalixir,btltbl.bin,1AF4,08 00 00 00,8,Sort Order
9,Fury Stone,btltbl.bin,1AF8,27 00,39,Item Name
9,Fury Stone,btltbl.bin,1AFA,0D,13,Item Icon
9,Fury Stone,btltbl.bin,1AFB,05,5,???
9,Fury Stone,btltbl.bin,1AFC,00 00,0,???
9,Fury Stone,btltbl.bin,1AFE,00 00,0,???
9,Fury Stone,btltbl.bin,1B00,00 00,0,Buy Price
9,Fury Stone,btltbl.bin,1B02,00 00,0,Sell Price
9,Fury Stone,btltbl.bin,1B04,B0 DB,56240,???
9,Fury Stone,btltbl.bin,1B06,00 00,0,???
9,Fury Stone,btltbl.bin,1B08,C7 0B 00 00,3015,Sort Order
10,Power Stone,btltbl.bin,1B0C,28 00,40,Item Name
10,Power Stone,btltbl.bin,1B0E,0D,13,Item Icon
10,Power Stone,btltbl.bin,1B0F,05,5,???
10,Power Stone,btltbl.bin,1B10,00 00,0,???
10,Power Stone,btltbl.bin,1B12,00 00,0,???
10,Power Stone,btltbl.bin,1B14,00 00,0,Buy Price
10,Power Stone,btltbl.bin,1B16,00 00,0,Sell Price
10,Power Stone,btltbl.bin,1B18,F0 DB,56304,???
10,Power Stone,btltbl.bin,1B1A,00 00,0,???
10,Power Stone,btltbl.bin,1B1C,D1 0B 00 00,3025,Sort Order
11,Energy Stone,btltbl.bin,1B20,29 00,41,Item Name
11,Energy Stone,btltbl.bin,1B22,0D,13,Item Icon
11,Energy Stone,btltbl.bin,1B23,05,5,???
11,Energy Stone,btltbl.bin,1B24,00 00,0,???
11,Energy Stone,btltbl.bin,1B26,00 00,0,???
11,Energy Stone,btltbl.bin,1B28,00 00,0,Buy Price
11,Energy Stone,btltbl.bin,1B2A,00 00,0,Sell Price
11,Energy Stone,btltbl.bin,1B2C,30 DC,56368,???
11,Energy Stone,btltbl.bin,1B2E,00 00,0,???
11,Energy Stone,btltbl.bin,1B30,DB 0B 00 00,3035,Sort Order
12,Blazing Stone,btltbl.bin,1B34,2A 00,42,Item Name
12,Blazing Stone,btltbl.bin,1B36,0D,13,Item Icon
12,Blazing Stone,btltbl.bin,1B37,05,5,???
12,Blazing Stone,btltbl.bin,1B38,00 00,0,???
12,Blazing Stone,btltbl.bin,1B3A,00 00,0,???
12,Blazing Stone,btltbl.bin,1B3C,00 00,0,Buy Price
12,Blazing Stone,btltbl.bin,1B3E,00 00,0,Sell Price
12,Blazing Stone,btltbl.bin,1B40,70 DC,56432,???
12,Blazing Stone,btltbl.bin,1B42,00 00,0,???
12,Blazing Stone,btltbl.bin,1B44,E5 0B 00 00,3045,Sort Order
13,Frost Stone,btltbl.bin,1B48,2B 00,43,Item Name
13,Frost Stone,btltbl.bin,1B4A,0D,13,Item Icon
13,Frost Stone,btltbl.bin,1B4B,05,5,???
13,Frost Stone,btltbl.bin,1B4C,00 00,0,???
13,Frost Stone,btltbl.bin,1B4E,00 00,0,???
13,Frost Stone,btltbl.bin,1B50,00 00,0,Buy Price
13,Frost Stone,btltbl.bin,1B52,00 00,0,Sell Price
13,Frost Stone,btltbl.bin,1B54,B0 DC,56496,???
13,Frost Stone,btltbl.bin,1B56,00 00,0,???
13,Frost Stone,btltbl.bin,1B58,EF 0B 00 00,3055,Sort Order
14,Lightning Stone,btltbl.bin,1B5C,2C 00,44,Item Name
14,Lightning Stone,btltbl.bin,1B5E,0D,13,Item Icon
14,Lightning Stone,btltbl.bin,1B5F,05,5,???
14,Lightning Stone,btltbl.bin,1B60,00 00,0,???
14,Lightning Stone,btltbl.bin,1B62,00 00,0,???
14,Lightning Stone,btltbl.bin,1B64,00 00,0,Buy Price
14,Lightning Stone,btltbl.bin,1B66,00 00,0,Sell Price
14,Lightning Stone,btltbl.bin,1B68,F0 DC,56560,???
14,Lightning Stone,btltbl.bin,1B6A,00 00,0,???
14,Lightning Stone,btltbl.bin,1B6C,F9 0B 00 00,3065,Sort Order
15,Dazzling Stone,btltbl.bin,1B70,2D 00,45,Item Name
15,Dazzling Stone,btltbl.bin,1B72,0D,13,Item Icon
15,Dazzling Stone,btltbl.bin,1B73,05,5,???
15,Dazzling Stone,btltbl.bin,1B74,00 00,0,???
15,Dazzling Stone,btltbl.bin,1B76,00 00,0,???
15,Dazzling Stone,btltbl.bin,1B78,00 00,0,Buy Price
15,Dazzling Stone,btltbl.bin,1B7A,00 00,0,Sell Price
15,Dazzling Stone,btltbl.bin,1B7C,30 DD,56624,???
15,Dazzling Stone,btltbl.bin,1B7E,00 00,0,???
15,Dazzling Stone,btltbl.bin,1B80,03 0C 00 00,3075,Sort Order
16,Stormy Stone,btltbl.bin,1B84,2E 00,46,Item Name
16,Stormy Stone,btltbl.bin,1B86,0D,13,Item Icon
16,Stormy Stone,btltbl.bin,1B87,05,5,???
16,Stormy Stone,btltbl.bin,1B88,00 00,0,???
16,Stormy Stone,btltbl.bin,1B8A,00 00,0,???
16,Stormy Stone,btltbl.bin,1B8C,00 00,0,Buy Price
16,Stormy Stone,btltbl.bin,1B8E,00 00,0,Sell Price
16,Stormy Stone,btltbl.bin,1B90,70 DD,56688,???
16,Stormy Stone,btltbl.bin,1B92,00 00,0,???
16,Stormy Stone,btltbl.bin,1B94,21 0C 00 00,3105,Sort Order
17,Protect Chain,btltbl.bin,1B98,2F 00,47,Item Name
17,Protect Chain,btltbl.bin,1B9A,01,1,Item Icon
17,Protect Chain,btltbl.bin,1B9B,06,6,???
17,Protect Chain,btltbl.bin,1B9C,00 00,0,???
17,Protect Chain,btltbl.bin,1B9E,00 00,0,???
17,Protect Chain,btltbl.bin,1BA0,2C 01,300,Buy Price
17,Protect Chain,btltbl.bin,1BA2,3C 00,60,Sell Price
17,Protect Chain,btltbl.bin,1BA4,B8 DD,56760,???
17,Protect Chain,btltbl.bin,1BA6,00 00,0,???
17,Protect Chain,btltbl.bin,1BA8,E9 03 00 00,1001,Sort Order
18,Protera Chain,btltbl.bin,1BAC,30 00,48,Item Name
18,Protera Chain,btltbl.bin,1BAE,01,1,Item Icon
18,Protera Chain,btltbl.bin,1BAF,06,6,???
18,Protera Chain,btltbl.bin,1BB0,00 00,0,???
18,Protera Chain,btltbl.bin,1BB2,01 00,1,???
18,Protera Chain,btltbl.bin,1BB4,20 03,800,Buy Price
18,Protera Chain,btltbl.bin,1BB6,A0 00,160,Sell Price
18,Protera Chain,btltbl.bin,1BB8,D0 DD,56784,???
18,Protera Chain,btltbl.bin,1BBA,00 00,0,???
18,Protera Chain,btltbl.bin,1BBC,EA 03 00 00,1002,Sort Order
19,Protega Chain,btltbl.bin,1BC0,31 00,49,Item Name
19,Protega Chain,btltbl.bin,1BC2,01,1,Item Icon
19,Protega Chain,btltbl.bin,1BC3,07,7,???
19,Protega Chain,btltbl.bin,1BC4,00 00,0,???
19,Protega Chain,btltbl.bin,1BC6,02 00,2,???
19,Protega Chain,btltbl.bin,1BC8,F0 0A,2800,Buy Price
19,Protega Chain,btltbl.bin,1BCA,DC 00,220,Sell Price
19,Protega Chain,btltbl.bin,1BCC,E0 DD,56800,???
19,Protega Chain,btltbl.bin,1BCE,00 00,0,???
19,Protega Chain,btltbl.bin,1BD0,EB 03 00 00,1003,Sort Order
20,Fire Ring,btltbl.bin,1BD4,32 00,50,Item Name
20,Fire Ring,btltbl.bin,1BD6,01,1,Item Icon
20,Fire Ring,btltbl.bin,1BD7,06,6,???
20,Fire Ring,btltbl.bin,1BD8,00 00,0,???
20,Fire Ring,btltbl.bin,1BDA,03 00,3,???
20,Fire Ring,btltbl.bin,1BDC,C2 01,450,Buy Price
20,Fire Ring,btltbl.bin,1BDE,5A 00,90,Sell Price
20,Fire Ring,btltbl.bin,1BE0,F8 DD,56824,???
20,Fire Ring,btltbl.bin,1BE2,00 00,0,???
20,Fire Ring,btltbl.bin,1BE4,F3 03 00 00,1011,Sort Order
21,Fira Ring,btltbl.bin,1BE8,33 00,51,Item Name
21,Fira Ring,btltbl.bin,1BEA,01,1,Item Icon
21,Fira Ring,btltbl.bin,1BEB,06,6,???
21,Fira Ring,btltbl.bin,1BEC,00 00,0,???
21,Fira Ring,btltbl.bin,1BEE,04 00,4,???
21,Fira Ring,btltbl.bin,1BF0,B0 04,1200,Buy Price
21,Fira Ring,btltbl.bin,1BF2,C8 00,200,Sell Price
21,Fira Ring,btltbl.bin,1BF4,40 DE,56896,???
21,Fira Ring,btltbl.bin,1BF6,00 00,0,???
21,Fira Ring,btltbl.bin,1BF8,F4 03 00 00,1012,Sort Order
22,Firaga Ring,btltbl.bin,1BFC,34 00,52,Item Name
22,Firaga Ring,btltbl.bin,1BFE,01,1,Item Icon
22,Firaga Ring,btltbl.bin,1BFF,07,7,???
22,Firaga Ring,btltbl.bin,1C00,00 00,0,???
22,Firaga Ring,btltbl.bin,1C02,05 00,5,???
22,Firaga Ring,btltbl.bin,1C04,A0 0F,4000,Buy Price
22,Firaga Ring,btltbl.bin,1C06,04 01,260,Sell Price
22,Firaga Ring,btltbl.bin,1C08,88 DE,56968,???
22,Firaga Ring,btltbl.bin,1C0A,00 00,0,???
22,Firaga Ring,btltbl.bin,1C0C,F5 03 00 00,1013,Sort Order
23,Blizzard Ring,btltbl.bin,1C10,35 00,53,Item Name
23,Blizzard Ring,btltbl.bin,1C12,01,1,Item Icon
23,Blizzard Ring,btltbl.bin,1C13,06,6,???
23,Blizzard Ring,btltbl.bin,1C14,00 00,0,???
23,Blizzard Ring,btltbl.bin,1C16,06 00,6,???
23,Blizzard Ring,btltbl.bin,1C18,C2 01,450,Buy Price
23,Blizzard Ring,btltbl.bin,1C1A,5A 00,90,Sell Price
23,Blizzard Ring,btltbl.bin,1C1C,D0 DE,57040,???
23,Blizzard Ring,btltbl.bin,1C1E,00 00,0,???
23,Blizzard Ring,btltbl.bin,1C20,FD 03 00 00,1021,Sort Order
24,Blizzara Ring,btltbl.bin,1C24,36 00,54,Item Name
24,Blizzara Ring,btltbl.bin,1C26,01,1,Item Icon
24,Blizzara Ring,btltbl.bin,1C27,06,6,???
24,Blizzara Ring,btltbl.bin,1C28,00 00,0,???
24,Blizzara Ring,btltbl.bin,1C2A,07 00,7,???
24,Blizzara Ring,btltbl.bin,1C2C,B0 04,1200,Buy Price
24,Blizzara Ring,btltbl.bin,1C2E,C8 00,200,Sell Price
24,Blizzara Ring,btltbl.bin,1C30,20 DF,57120,???
24,Blizzara Ring,btltbl.bin,1C32,00 00,0,???
24,Blizzara Ring,btltbl.bin,1C34,FE 03 00 00,1022,Sort Order
25,Blizzaga Ring,btltbl.bin,1C38,37 00,55,Item Name
25,Blizzaga Ring,btltbl.bin,1C3A,01,1,Item Icon
25,Blizzaga Ring,btltbl.bin,1C3B,07,7,???
25,Blizzaga Ring,btltbl.bin,1C3C,00 00,0,???
25,Blizzaga Ring,btltbl.bin,1C3E,08 00,8,???
25,Blizzaga Ring,btltbl.bin,1C40,A0 0F,4000,Buy Price
25,Blizzaga Ring,btltbl.bin,1C42,04 01,260,Sell Price
25,Blizzaga Ring,btltbl.bin,1C44,68 DF,57192,???
25,Blizzaga Ring,btltbl.bin,1C46,00 00,0,???
25,Blizzaga Ring,btltbl.bin,1C48,FF 03 00 00,1023,Sort Order
26,Thunder Ring,btltbl.bin,1C4C,38 00,56,Item Name
26,Thunder Ring,btltbl.bin,1C4E,01,1,Item Icon
26,Thunder Ring,btltbl.bin,1C4F,06,6,???
26,Thunder Ring,btltbl.bin,1C50,00 00,0,???
26,Thunder Ring,btltbl.bin,1C52,09 00,9,???
26,Thunder Ring,btltbl.bin,1C54,C2 01,450,Buy Price
26,Thunder Ring,btltbl.bin,1C56,5A 00,90,Sell Price
26,Thunder Ring,btltbl.bin,1C58,B8 DF,57272,???
26,Thunder Ring,btltbl.bin,1C5A,00 00,0,???
26,Thunder Ring,btltbl.bin,1C5C,07 04 00 00,1031,Sort Order
27,Thundara Ring,btltbl.bin,1C60,39 00,57,Item Name
27,Thundara Ring,btltbl.bin,1C62,01,1,Item Icon
27,Thundara Ring,btltbl.bin,1C63,06,6,???
27,Thundara Ring,btltbl.bin,1C64,00 00,0,???
27,Thundara Ring,btltbl.bin,1C66,0A 00,10,???
27,Thundara Ring,btltbl.bin,1C68,B0 04,1200,Buy Price
27,Thundara Ring,btltbl.bin,1C6A,C8 00,200,Sell Price
27,Thundara Ring,btltbl.bin,1C6C,08 E0,57352,???
27,Thundara Ring,btltbl.bin,1C6E,00 00,0,???
27,Thundara Ring,btltbl.bin,1C70,08 04 00 00,1032,Sort Order
28,Thundaga Ring,btltbl.bin,1C74,3A 00,58,Item Name
28,Thundaga Ring,btltbl.bin,1C76,01,1,Item Icon
28,Thundaga Ring,btltbl.bin,1C77,07,7,???
28,Thundaga Ring,btltbl.bin,1C78,00 00,0,???
28,Thundaga Ring,btltbl.bin,1C7A,0B 00,11,???
28,Thundaga Ring,btltbl.bin,1C7C,A0 0F,4000,Buy Price
28,Thundaga Ring,btltbl.bin,1C7E,04 01,260,Sell Price
28,Thundaga Ring,btltbl.bin,1C80,50 E0,57424,???
28,Thundaga Ring,btltbl.bin,1C82,00 00,0,???
28,Thundaga Ring,btltbl.bin,1C84,09 04 00 00,1033,Sort Order
29,Ability Stud,btltbl.bin,1C88,3B 00,59,Item Name
29,Ability Stud,btltbl.bin,1C8A,01,1,Item Icon
29,Ability Stud,btltbl.bin,1C8B,06,6,???
29,Ability Stud,btltbl.bin,1C8C,00 00,0,???
29,Ability Stud,btltbl.bin,1C8E,0C 00,12,???
29,Ability Stud,btltbl.bin,1C90,58 02,600,Buy Price
29,Ability Stud,btltbl.bin,1C92,78 00,120,Sell Price
29,Ability Stud,btltbl.bin,1C94,A0 E0,57504,???
29,Ability Stud,btltbl.bin,1C96,00 00,0,???
29,Ability Stud,btltbl.bin,1C98,25 04 00 00,1061,Sort Order
30,Guard Earring,btltbl.bin,1C9C,3C 00,60,Item Name
30,Guard Earring,btltbl.bin,1C9E,01,1,Item Icon
30,Guard Earring,btltbl.bin,1C9F,07,7,???
30,Guard Earring,btltbl.bin,1CA0,00 00,0,???
30,Guard Earring,btltbl.bin,1CA2,0D 00,13,???
30,Guard Earring,btltbl.bin,1CA4,00 00,0,Buy Price
30,Guard Earring,btltbl.bin,1CA6,96 00,150,Sell Price
30,Guard Earring,btltbl.bin,1CA8,B8 E0,57528,???
30,Guard Earring,btltbl.bin,1CAA,00 00,0,???
30,Guard Earring,btltbl.bin,1CAC,26 04 00 00,1062,Sort Order
31,Master Earring,btltbl.bin,1CB0,3D 00,61,Item Name
31,Master Earring,btltbl.bin,1CB2,01,1,Item Icon
31,Master Earring,btltbl.bin,1CB3,07,7,???
31,Master Earring,btltbl.bin,1CB4,00 00,0,???
31,Master Earring,btltbl.bin,1CB6,0E 00,14,???
31,Master Earring,btltbl.bin,1CB8,00 00,0,Buy Price
31,Master Earring,btltbl.bin,1CBA,C8 00,200,Sell Price
31,Master Earring,btltbl.bin,1CBC,D0 E0,57552,???
31,Master Earring,btltbl.bin,1CBE,00 00,0,???
31,Master Earring,btltbl.bin,1CC0,27 04 00 00,1063,Sort Order
32,Chaos Ring,btltbl.bin,1CC4,3E 00,62,Item Name
32,Chaos Ring,btltbl.bin,1CC6,01,1,Item Icon
32,Chaos Ring,btltbl.bin,1CC7,06,6,???
32,Chaos Ring,btltbl.bin,1CC8,00 00,0,???
32,Chaos Ring,btltbl.bin,1CCA,0F 00,15,???
32,Chaos Ring,btltbl.bin,1CCC,08 07,1800,Buy Price
32,Chaos Ring,btltbl.bin,1CCE,C8 00,200,Sell Price
32,Chaos Ring,btltbl.bin,1CD0,F0 E0,57584,???
32,Chaos Ring,btltbl.bin,1CD2,00 00,0,???
32,Chaos Ring,btltbl.bin,1CD4,1B 04 00 00,1051,Sort Order
33,Dark Ring,btltbl.bin,1CD8,3F 00,63,Item Name
33,Dark Ring,btltbl.bin,1CDA,01,1,Item Icon
33,Dark Ring,btltbl.bin,1CDB,07,7,???
33,Dark Ring,btltbl.bin,1CDC,00 00,0,???
33,Dark Ring,btltbl.bin,1CDE,10 00,16,???
33,Dark Ring,btltbl.bin,1CE0,00 00,0,Buy Price
33,Dark Ring,btltbl.bin,1CE2,FA 00,250,Sell Price
33,Dark Ring,btltbl.bin,1CE4,38 E1,57656,???
33,Dark Ring,btltbl.bin,1CE6,00 00,0,???
33,Dark Ring,btltbl.bin,1CE8,1D 04 00 00,1053,Sort Order
34,Element Ring,btltbl.bin,1CEC,40 00,64,Item Name
34,Element Ring,btltbl.bin,1CEE,01,1,Item Icon
34,Element Ring,btltbl.bin,1CEF,07,7,???
34,Element Ring,btltbl.bin,1CF0,00 00,0,???
34,Element Ring,btltbl.bin,1CF2,11 00,17,???
34,Element Ring,btltbl.bin,1CF4,C0 12,4800,Buy Price
34,Element Ring,btltbl.bin,1CF6,04 01,260,Sell Price
34,Element Ring,btltbl.bin,1CF8,80 E1,57728,???
34,Element Ring,btltbl.bin,1CFA,00 00,0,???
34,Element Ring,btltbl.bin,1CFC,11 04 00 00,1041,Sort Order
35,Three Stars,btltbl.bin,1D00,41 00,65,Item Name
35,Three Stars,btltbl.bin,1D02,01,1,Item Icon
35,Three Stars,btltbl.bin,1D03,07,7,???
35,Three Stars,btltbl.bin,1D04,00 00,0,???
35,Three Stars,btltbl.bin,1D06,12 00,18,???
35,Three Stars,btltbl.bin,1D08,00 00,0,Buy Price
35,Three Stars,btltbl.bin,1D0A,2C 01,300,Sell Price
35,Three Stars,btltbl.bin,1D0C,D8 E1,57816,???
35,Three Stars,btltbl.bin,1D0E,00 00,0,???
35,Three Stars,btltbl.bin,1D10,13 04 00 00,1043,Sort Order
36,Power Chain,btltbl.bin,1D14,42 00,66,Item Name
36,Power Chain,btltbl.bin,1D16,01,1,Item Icon
36,Power Chain,btltbl.bin,1D17,07,7,???
36,Power Chain,btltbl.bin,1D18,00 00,0,???
36,Power Chain,btltbl.bin,1D1A,13 00,19,???
36,Power Chain,btltbl.bin,1D1C,00 00,0,Buy Price
36,Power Chain,btltbl.bin,1D1E,32 00,50,Sell Price
36,Power Chain,btltbl.bin,1D20,38 E2,57912,???
36,Power Chain,btltbl.bin,1D22,00 00,0,???
36,Power Chain,btltbl.bin,1D24,2F 04 00 00,1071,Sort Order
37,Golem Chain,btltbl.bin,1D28,43 00,67,Item Name
37,Golem Chain,btltbl.bin,1D2A,01,1,Item Icon
37,Golem Chain,btltbl.bin,1D2B,07,7,???
37,Golem Chain,btltbl.bin,1D2C,00 00,0,???
37,Golem Chain,btltbl.bin,1D2E,14 00,20,???
37,Golem Chain,btltbl.bin,1D30,00 00,0,Buy Price
37,Golem Chain,btltbl.bin,1D32,64 00,100,Sell Price
37,Golem Chain,btltbl.bin,1D34,50 E2,57936,???
37,Golem Chain,btltbl.bin,1D36,00 00,0,???
37,Golem Chain,btltbl.bin,1D38,30 04 00 00,1072,Sort Order
38,Titan Chain,btltbl.bin,1D3C,44 00,68,Item Name
38,Titan Chain,btltbl.bin,1D3E,01,1,Item Icon
38,Titan Chain,btltbl.bin,1D3F,07,7,???
38,Titan Chain,btltbl.bin,1D40,00 00,0,???
38,Titan Chain,btltbl.bin,1D42,15 00,21,???
38,Titan Chain,btltbl.bin,1D44,00 00,0,Buy Price
38,Titan Chain,btltbl.bin,1D46,96 00,150,Sell Price
38,Titan Chain,btltbl.bin,1D48,68 E2,57960,???
38,Titan Chain,btltbl.bin,1D4A,00 00,0,???
38,Titan Chain,btltbl.bin,1D4C,31 04 00 00,1073,Sort Order
39,Energy Bangle,btltbl.bin,1D50,45 00,69,Item Name
39,Energy Bangle,btltbl.bin,1D52,01,1,Item Icon
39,Energy Bangle,btltbl.bin,1D53,07,7,???
39,Energy Bangle,btltbl.bin,1D54,00 00,0,???
39,Energy Bangle,btltbl.bin,1D56,16 00,22,???
39,Energy Bangle,btltbl.bin,1D58,00 00,0,Buy Price
39,Energy Bangle,btltbl.bin,1D5A,32 00,50,Sell Price
39,Energy Bangle,btltbl.bin,1D5C,88 E2,57992,???
39,Energy Bangle,btltbl.bin,1D5E,00 00,0,???
39,Energy Bangle,btltbl.bin,1D60,39 04 00 00,1081,Sort Order
40,Angel Bangle,btltbl.bin,1D64,46 00,70,Item Name
40,Angel Bangle,btltbl.bin,1D66,01,1,Item Icon
40,Angel Bangle,btltbl.bin,1D67,07,7,???
40,Angel Bangle,btltbl.bin,1D68,00 00,0,???
40,Angel Bangle,btltbl.bin,1D6A,17 00,23,???
40,Angel Bangle,btltbl.bin,1D6C,00 00,0,Buy Price
40,Angel Bangle,btltbl.bin,1D6E,64 00,100,Sell Price
40,Angel Bangle,btltbl.bin,1D70,A8 E2,58024,???
40,Angel Bangle,btltbl.bin,1D72,00 00,0,???
40,Angel Bangle,btltbl.bin,1D74,3A 04 00 00,1082,Sort Order
41,Gaia Bangle,btltbl.bin,1D78,47 00,71,Item Name
41,Gaia Bangle,btltbl.bin,1D7A,01,1,Item Icon
41,Gaia Bangle,btltbl.bin,1D7B,07,7,???
41,Gaia Bangle,btltbl.bin,1D7C,00 00,0,???
41,Gaia Bangle,btltbl.bin,1D7E,18 00,24,???
41,Gaia Bangle,btltbl.bin,1D80,00 00,0,Buy Price
41,Gaia Bangle,btltbl.bin,1D82,96 00,150,Sell Price
41,Gaia Bangle,btltbl.bin,1D84,C0 E2,58048,???
41,Gaia Bangle,btltbl.bin,1D86,00 00,0,???
41,Gaia Bangle,btltbl.bin,1D88,3B 04 00 00,1083,Sort Order
42,Magic Armlet,btltbl.bin,1D8C,48 00,72,Item Name
42,Magic Armlet,btltbl.bin,1D8E,01,1,Item Icon
42,Magic Armlet,btltbl.bin,1D8F,07,7,???
42,Magic Armlet,btltbl.bin,1D90,00 00,0,???
42,Magic Armlet,btltbl.bin,1D92,19 00,25,???
42,Magic Armlet,btltbl.bin,1D94,00 00,0,Buy Price
42,Magic Armlet,btltbl.bin,1D96,32 00,50,Sell Price
42,Magic Armlet,btltbl.bin,1D98,E0 E2,58080,???
42,Magic Armlet,btltbl.bin,1D9A,00 00,0,???
42,Magic Armlet,btltbl.bin,1D9C,43 04 00 00,1091,Sort Order
43,Rune Armlet,btltbl.bin,1DA0,49 00,73,Item Name
43,Rune Armlet,btltbl.bin,1DA2,01,1,Item Icon
