World,Room,Value,First 3 Hex Digits,Last Hex Digit,Reward Numeric Value,Reward,Uses Reward Battle Table?,Battle Table Link,Offset,AP Location ID,AP Location Name
Destiny Islands,Cove,066E,066,E,102,Protect Chain,Y,Link,0,2650011,Destiny Islands Chest
Traverse Town,1st District,03FE,03F,E,63,Defense Up,Y,Link,28,2650211,Traverse Town 1st District Candle Puzzle Chest
Traverse Town,1st District,0D30,0D3,0,211,Postcard,N,None,2A,2650212,Traverse Town 1st District Accessory Shop Roof Chest
Traverse Town,2nd District,0D30,0D3,0,211,Postcard,N,None,2C,2650213,Traverse Town 2nd District Boots and Shoes Awning Chest
Traverse Town,2nd District,0FD0,0FD,0,253,Mythril Shard,N,None,2E,2650214,Traverse Town 2nd District Rooftop Chest
Traverse Town,2nd District,0060,006,0,6,Mega-Potion,N,None,30,2650251,Traverse Town 2nd District Gizmo Shop Facade Chest
Traverse Town,Alleyway,0010,001,0,1,Potion,N,None,32,2650252,Traverse Town Alleyway Balcony Chest
Traverse Town,Alleyway,0E70,0E7,0,231,Pretty Stone,N,None,34,2650253,Traverse Town Alleyway Blue Room Awning Chest
Traverse Town,Alleyway,0010,001,0,1,Potion,N,None,36,2650254,Traverse Town Alleyway Corner Chest
Traverse Town,Green Room,0FE0,0FE,0,254,Mythril,N,None,3A,2650292,Traverse Town Green Room Clock Puzzle Chest
Traverse Town,Green Room,040E,040,E,64,Elixir,Y,Link,3C,2650293,Traverse Town Green Room Table Chest
Traverse Town,Red Room,0E70,0E7,0,231,Pretty Stone,N,None,3E,2650294,Traverse Town Red Room Chest
Traverse Town,Mystical House,041E,041,E,65,AP Up,Y,Link,40,2650331,Traverse Town Mystical House Yellow Trinity Chest
Traverse Town,Accessory Shop,0FD0,0FD,0,253,Mythril Shard,N,None,42,2650332,Traverse Town Accessory Shop Chest
Traverse Town,Secret Waterway,042E,042,E,66,Orichalcum,Y,Link,44,2650333,Traverse Town Secret Waterway White Trinity Chest
Traverse Town,Geppetto's House,033E,033,E,51,Wishing Star,Y,Link,46,2650334,Traverse Town Geppetto's House Chest
Traverse Town,Item Workshop,0FD0,0FD,0,253,Mythril Shard,N,None,48,2650371,Traverse Town Item Workshop Right Chest
Traverse Town,1st District,0D30,0D3,0,211,Postcard,N,None,50,2650411,Traverse Town 1st District Blue Trinity Balcony Chest
Traverse Town,Mystical House,0014,001,4,1,Puppies,N,None,B0,2650891,Traverse Town Mystical House Glide Chest
Traverse Town,Alleyway,0024,002,4,2,Puppies,N,None,B2,2650892,Traverse Town Alleyway Behind Crates Chest
Traverse Town,Item Workshop,0034,003,4,3,Puppies,N,None,B4,2650893,Traverse Town Item Workshop Left Chest
Traverse Town,Secret Waterway,0044,004,4,4,Puppies,N,None,B6,2650894,Traverse Town Secret Waterway Near Stairs Chest
Wonderland,Rabbit Hole,074E,074,E,116,Elixir,Y,Link,B8,2650931,Wonderland Rabbit Hole Green Trinity Chest
Wonderland,Rabbit Hole,043E,043,E,67,Camping Set,Y,Link,BA,2650932,Wonderland Rabbit Hole Defeat Heartless 1 Chest
Wonderland,Rabbit Hole,044E,044,E,68,Mega-Potion,Y,Link,BC,2650933,Wonderland Rabbit Hole Defeat Heartless 2 Chest
Wonderland,Rabbit Hole,045E,045,E,69,Megalixir,Y,Link,BE,2650934,Wonderland Rabbit Hole Defeat Heartless 3 Chest
Wonderland,Bizarre Room,046E,046,E,70,Mythril Shard,Y,Link,C0,2650971,Wonderland Bizarre Room Green Trinity Chest
Wonderland,Queen's Castle,03B2,03B,2,59,Gummi,N,None,C8,2651011,Wonderland Queen's Castle Hedge Left Red Chest
Wonderland,Queen's Castle,0054,005,4,5,Puppies,N,None,CA,2651012,Wonderland Queen's Castle Hedge Right Blue Chest
Wonderland,Queen's Castle,03E2,03E,2,62,Gummi,N,None,CC,2651013,Wonderland Queen's Castle Hedge Right Red Chest
Wonderland,Lotus Forest,03B2,03B,2,59,Gummi,N,None,CE,2651014,Wonderland Lotus Forest Thunder Plant Chest
Wonderland,Lotus Forest,0144,014,4,20,Puppies,N,None,D0,2651051,Wonderland Lotus Forest Through the Painting Thunder Plant Chest
Wonderland,Lotus Forest,047E,047,E,71,Orichalcum,Y,Link,D2,2651052,Wonderland Lotus Forest Glide Chest
Wonderland,Lotus Forest,0064,006,4,6,Puppies,N,None,D4,2651053,Wonderland Lotus Forest Nut Chest
Wonderland,Lotus Forest,0332,033,2,51,Gummi,N,None,D6,2651054,Wonderland Lotus Forest Corner Chest
Wonderland,Bizarre Room,0990,099,0,153,Defense Up,N,None,D8,2651091,Wonderland Bizarre Room Lamp Chest
Wonderland,Tea Party Garden,0072,007,2,7,Gummi,N,None,DC,2651093,Wonderland Tea Party Garden Above Lotus Forest Entrance 2nd Chest
Wonderland,Tea Party Garden,0074,007,4,7,Puppies,N,None,DE,2651094,Wonderland Tea Party Garden Above Lotus Forest Entrance 1st Chest
Wonderland,Tea Party Garden,099E,099,E,153,Dark Matter,Y,Link,E0,2651131,Wonderland Tea Party Garden Bear and Clock Puzzle Chest
Wonderland,Tea Party Garden,032E,032,E,50,Mythril,Y,Link,E2,2651132,Wonderland Tea Party Garden Across From Bizarre Room Entrance Chest
Wonderland,Lotus Forest,048E,048,E,72,Lady Luck,Y,Link,E4,2651133,Wonderland Lotus Forest Through the Painting White Trinity Chest
Deep Jungle,Tree House,049E,049,E,73,Mega-Potion,Y,Link,F4,2651213,Deep Jungle Tree House Beneath Tree House Chest
Deep Jungle,Tree House,04AE,04A,E,74,Protect Chain,Y,Link,F6,2651214,Deep Jungle Tree House Rooftop Chest
Deep Jungle,Hippos' Lagoon,0094,009,4,9,Puppies,N,None,F8,2651251,Deep Jungle Hippo's Lagoon Center Chest
Deep Jungle,Hippos' Lagoon,0060,006,0,6,Mega-Potion,N,None,FA,2651252,Deep Jungle Hippo's Lagoon Left Chest
Deep Jungle,Hippos' Lagoon,03E2,03E,2,62,Gummi,N,None,FC,2651253,Deep Jungle Hippo's Lagoon Right Chest
Deep Jungle,Jungle: Vines,0FE0,0FE,0,254,Mythril,N,None,100,2651291,Deep Jungle Vines Chest
Deep Jungle,Jungle: Vines 2,00A4,00A,4,10,Puppies,N,None,102,2651292,Deep Jungle Vines 2 Chest
Deep Jungle,Climbing Trees,03B2,03B,2,59,Gummi,N,None,104,2651293,Deep Jungle Climbing Trees Blue Trinity Chest
Deep Jungle,Jungle: Tunnel,0070,007,0,7,Mega-Ether,N,None,108,2651331,Deep Jungle Tunnel Chest
Deep Jungle,Cavern of Hearts,04BE,04B,E,75,Orichalcum,Y,Link,10A,2651332,Deep Jungle Cavern of Hearts White Trinity Chest
Deep Jungle,Camp,00C4,00C,4,12,Puppies,N,None,10C,2651333,Deep Jungle Camp Blue Trinity Chest
Deep Jungle,Camp: Tent,0FD0,0FD,0,253,Mythril Shard,N,None,10E,2651334,Deep Jungle Tent Chest
Deep Jungle,Waterfall Cavern,0FD0,0FD,0,253,Mythril Shard,N,None,110,2651371,Deep Jungle Waterfall Cavern Low Chest
Deep Jungle,Waterfall Cavern,00B4,00B,4,11,Puppies,N,None,112,2651372,Deep Jungle Waterfall Cavern Middle Chest
Deep Jungle,Waterfall Cavern,0FE0,0FE,0,254,Mythril,N,None,114,2651373,Deep Jungle Waterfall Cavern High Wall Chest
Deep Jungle,Waterfall Cavern,0FF0,0FF,0,255,Orichalcum,N,None,116,2651374,Deep Jungle Waterfall Cavern High Middle Chest
Deep Jungle,Jungle: Cliff,072E,072,E,114,Mega-Potion,Y,Link,118,2651411,Deep Jungle Cliff Right Cliff Left Chest
Deep Jungle,Jungle: Cliff,073E,073,E,115,Mythril Shard,Y,Link,11A,2651412,Deep Jungle Cliff Right Cliff Right Chest
Deep Jungle,Tree House,075E,075,E,117,Mythril,Y,Link,11C,2651413,Deep Jungle Tree House Suspended Boat Chest
100 Acre Wood,Wood: Meadow,0FD0,0FD,0,253,Mythril Shard,N,None,14E,2651654,100 Acre Wood Meadow Inside Log Chest
100 Acre Wood,Bouncing Spot,04CE,04C,E,76,Mythril Shard,Y,Link,150,2651691,100 Acre Wood Bouncing Spot Left Cliff Chest
100 Acre Wood,Bouncing Spot,09BE,09B,E,155,Dark Matter,Y,Link,152,2651692,100 Acre Wood Bouncing Spot Right Tree Alcove Chest
100 Acre Wood,Bouncing Spot,04DE,04D,E,77,AP Up,Y,Link,154,2651693,100 Acre Wood Bouncing Spot Under Giant Pot Chest
Agrabah,Agrabah: Plaza,0060,006,0,6,Mega-Potion,N,None,18A,2651972,Agrabah Plaza By Storage Chest
Agrabah,Agrabah: Plaza,0070,007,0,7,Mega-Ether,N,None,18C,2651973,Agrabah Plaza Raised Terrace Chest
Agrabah,Agrabah: Plaza,04EE,04E,E,78,Cottage,Y,Link,18E,2651974,Agrabah Plaza Top Corner Chest
Agrabah,Agrabah: Alley,0060,006,0,6,Mega-Potion,N,None,190,2652011,Agrabah Alley Chest
Agrabah,Agrabah: Bazaar,03B2,03B,2,59,Gummi,N,None,192,2652012,Agrabah Bazaar Across Windows Chest
Agrabah,Agrabah: Bazaar,04FE,04F,E,79,Fire Ring,Y,Link,194,2652013,Agrabah Bazaar High Corner Chest
Agrabah,Main Street,0070,007,0,7,Mega-Ether,N,None,196,2652014,Agrabah Main Street Right Palace Entrance Chest
Agrabah,Main Street,09CE,09C,E,156,Dark Matter,Y,Link,198,2652051,Agrabah Main Street High Above Alley Entrance Chest
Agrabah,Main Street,050E,050,E,80,Mythril,Y,Link,19A,2652052,Agrabah Main Street High Above Palace Gates Entrance Chest
Agrabah,Palace Gates,076E,076,E,118,Protera Chain,Y,Link,19C,2652053,Agrabah Palace Gates Low Chest
Agrabah,Palace Gates,0124,012,4,18,Puppies,N,None,19E,2652054,Agrabah Palace Gates High Opposite Palace Chest
Agrabah,Palace Gates,02E2,02E,2,46,Gummi,N,None,1A0,2652091,Agrabah Palace Gates High Close to Palace Chest
Agrabah,Agrabah: Storage,051E,051,E,81,AP Up,Y,Link,1A2,2652092,Agrabah Storage Green Trinity Chest
Agrabah,Agrabah: Storage,0060,006,0,6,Mega-Potion,N,None,1A4,2652093,Agrabah Storage Behind Barrel Chest
Agrabah,Cave: Entrance,0070,007,0,7,Mega-Ether,N,None,1A6,2652094,Agrabah Cave of Wonders Entrance Left Chest
Agrabah,Cave: Entrance,0114,011,4,17,Puppies,N,None,1A8,2652131,Agrabah Cave of Wonders Entrance Tall Tower Chest
Agrabah,Cave: Hall,0040,004,0,4,Elixir,N,None,1AA,2652132,Agrabah Cave of Wonders Hall High Left Chest
Agrabah,Cave: Hall,0FD0,0FD,0,253,Mythril Shard,N,None,1AC,2652133,Agrabah Cave of Wonders Hall Near Bottomless Hall Chest
Agrabah,Bottomless Hall,0900,090,0,144,Cottage,N,None,1AE,2652134,Agrabah Cave of Wonders Bottomless Hall Raised Platform Chest
Agrabah,Bottomless Hall,052E,052,E,82,Elixir,Y,Link,1B0,2652171,Agrabah Cave of Wonders Bottomless Hall Pillar Chest
Agrabah,Bottomless Hall,053E,053,E,83,Mega-Potion,Y,Link,1B2,2652172,Agrabah Cave of Wonders Bottomless Hall Across Chasm Chest
Agrabah,Treasure Room,00D4,00D,4,13,Puppies,N,None,1B4,2652173,Agrabah Cave of Wonders Treasure Room Across Platforms Chest
Agrabah,Treasure Room,0FD0,0FD,0,253,Mythril Shard,N,None,1B6,2652174,Agrabah Cave of Wonders Treasure Room Small Treasure Pile Chest
Agrabah,Treasure Room,03C2,03C,2,60,Gummi,N,None,1B8,2652211,Agrabah Cave of Wonders Treasure Room Large Treasure Pile Chest
Agrabah,Treasure Room,0990,099,0,153,Defense Up,N,None,1BA,2652212,Agrabah Cave of Wonders Treasure Room Above Fire Chest
Agrabah,Relic Chamber,0FE0,0FE,0,254,Mythril,N,None,1BC,2652213,Agrabah Cave of Wonders Relic Chamber Jump from Stairs Chest
