World,Room,File,Use Corrected File?,Offset,Value,Character,Randomize
Awakening,Disembark,dh01.ard,N,0x0003E180,xa_ex_0010.mdls,Sora,FALSE
Awakening,Disembark,dh01.ard,N,0x0003E2C0,xa_dh_1010.mdls,Dream Sword,FALSE
Awakening,Disembark,dh01.ard,N,0x0003E300,xa_dh_1020.mdls,Dream Shield,FALSE
Awakening,Disembark,dh01.ard,N,0x0003E340,xa_dh_1030.mdls,Dream Wand,FALSE
Awakening,Disembark,dh01.ard,N,0x0003E380,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Awakening,[],dh02.ard,N,0x00000280,xa_ex_0010.mdls,Sora,FALSE
Awakening,[],dh02.ard,N,0x00000300,xa_ex_2020.mdls,Heartless Shadow,FALSE
Awakening,[],dh02.ard,N,0x00000340,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Awakening,[],dh03.ard,N,0x00124400,xa_ex_0010.mdls,Sora,FALSE
Awakening,[],dh03.ard,N,0x00124600,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Awakening,[],dh03.ard,N,0x00124640,xa_ex_4050.mdls,Tinkerbell,FALSE
Awakening,???,dh04.ard,N,0x00000180,xa_ex_0010.mdls,Sora,FALSE
Awakening,???,dh04.ard,N,0x000001E0,xa_ex_2020.mdls,Heartless Shadow,FALSE
Awakening,???,dh05.ard,N,0x0000FC80,xa_ex_0010.mdls,Sora,FALSE
Awakening,???,dh05.ard,N,0x0000FD60,xa_di_3000.mdls,Darkside,FALSE
Awakening,???,dh05.ard,N,0x0000FDA0,xa_ex_2020.mdls,Heartless Shadow,FALSE
Awakening,???,dh05.ard,N,0x0000FFE0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Awakening,???,dh06.ard,N,0x0007E680,xa_ex_0010.mdls,Sora,FALSE
Awakening,???,dh06.ard,N,0x0007E800,xa_di_1010.mdls,Tidus,FALSE
Awakening,???,dh06.ard,N,0x0007E840,xa_di_1020.mdls,Selphie,FALSE
Awakening,???,dh06.ard,N,0x0007E880,xa_di_1030.mdls,Wakka,FALSE
Awakening,???,dh07.ard,N,0x00000180,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019DC00,xa_pc_0000.mdls,The Beast,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E180,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E1C0,xa_ex_1590.mdls,Sora (Kid),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E200,xa_ex_1600.mdls,Riku (Kid),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E240,xa_ex_2020.mdls,Heartless Shadow,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E280,xa_ex_0040.mdls,Donald,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E2C0,xa_di_1010.mdls,Tidus,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E300,xa_di_1020.mdls,Selphie,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E340,xa_di_1030.mdls,Wakka,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E3A0,xa_ex_0050.mdls,Goofy,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E420,xa_ex_1010.mdls,Riku (Wooden Sword),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E460,xa_tz_0030.mdls,Tarzan,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E4A0,xa_di_1000.mdls,Seagull,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E4E0,xa_di_1041.mdls,Fish,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E520,xa_ex_1020.mdls,Kairi,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E560,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E5A0,xa_ex_7140.mdls,Kairi (High-Poly),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E5E0,xa_ex_7190.mdls,Riku (Wooden Sword) (High-Poly),FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E620,xa_al_0030.mdls,Aladdin,FALSE
Destiny Islands,Seashore,di01.ard,N,0x0019E720,xa_nm_0030.mdls,Jack Skellington,FALSE
Destiny Islands,Seaside Shack,di02.ard,N,0x000B8300,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB380,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB840,xa_ex_1010.mdls,Riku (Wooden Sword),FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB880,xa_ex_1020.mdls,Kairi,FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB8C0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB900,xa_ex_7140.mdls,Kairi (High-Poly),FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB940,xa_ex_7190.mdls,Riku (Wooden Sword) (High-Poly),FALSE
Destiny Islands,Cove,di03.ard,N,0x000FB980,xa_tw_1060.mdls,Kairi Good Luck Charm,FALSE
Destiny Islands,???,di04.ard,N,0x000F2880,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,???,di04.ard,N,0x000F2B40,xa_ex_1010.mdls,Riku (Wooden Sword),FALSE
Destiny Islands,???,di04.ard,N,0x000F2B80,xa_ex_1020.mdls,Kairi,FALSE
Destiny Islands,???,di04.ard,N,0x000F2BC0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,???,di04.ard,N,0x000F2C00,xa_ex_7140.mdls,Kairi (High-Poly),FALSE
Destiny Islands,???,di04.ard,N,0x000F2C40,xa_ex_7190.mdls,Riku (Wooden Sword) (High-Poly),FALSE
Destiny Islands,Seaside Shack,di05.ard,N,0x000A2600,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore (Day 3),di06.ard,N,0x0010C580,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore (Day 3),di06.ard,N,0x0010C880,xa_ex_1010.mdls,Riku (Wooden Sword),FALSE
Destiny Islands,Seashore (Day 3),di06.ard,N,0x0010C8C0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Seashore (Day 3),di06.ard,N,0x0010C900,xa_ex_7190.mdls,Riku (Wooden Sword) (High-Poly),FALSE
Destiny Islands,Seashore (Day 3),di06.ard,N,0x0010C940,xa_ex_2020.mdls,Heartless Shadow,FALSE
Destiny Islands,Seashore (Day 3),di07.ard,N,0x000B3700,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Secret Place,di08.ard,N,0x0001B900,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Secret Place,di08.ard,N,0x0001B9C0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Secret Place,di08.ard,N,0x0001BA00,xa_ex_7140.mdls,Kairi (High-Poly),FALSE
Destiny Islands,Seashore (Darkside Fight),di09.ard,N,0x000FD080,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore (Darkside Fight),di09.ard,N,0x000FD3C0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Seashore (Darkside Fight),di09.ard,N,0x000FD400,xa_di_3000.mdls,Darkside,FALSE
Destiny Islands,Seashore (Darkside Fight),di09.ard,N,0x000FD440,xa_ex_2020.mdls,Heartless Shadow,FALSE
Destiny Islands,Seashore (Day 3),di10.ard,N,0x0007AE00,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Seashore (Day 3),di10.ard,N,0x0007AF00,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,Secret Place,di11.ard,N,0x0002BB80,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,Secret Place,di11.ard,N,0x0002BD00,xa_ex_1590.mdls,Sora (Kid),FALSE
Destiny Islands,Secret Place,di11.ard,N,0x0002BD40,xa_ex_1610.mdls,Kairi (Kid),FALSE
Destiny Islands,Secret Place,di11.ard,N,0x0002BD80,xa_ex_1640.mdls,Ansem (Brown Coat),FALSE
Destiny Islands,Secret Place,di11.ard,N,0x0002BDC0,xa_ex_7010.mdls,Sora (High-Poly),FALSE
Destiny Islands,???,di12.ard,N,0x0001B900,xa_ex_0010.mdls,Sora,FALSE
Destiny Islands,???,di12.ard,N,0x0001B9C0,xa_ex_1590.mdls,Sora (Kid),FALSE
Destiny Islands,???,di12.ard,N,0x0001BA00,xa_ex_1600.mdls,Riku (Kid),FALSE
Disney Castle,???,dc01.ard,N,0x00034980,xa_dc_1000.mdls,Donald (Wizard),FALSE
Disney Castle,???,dc01.ard,N,0x000349C0,xa_dc_1060.mdls,Magic Broom,FALSE
Disney Castle,???,dc01.ard,N,0x00034A00,xa_ex_1060.mdls,Pluto,FALSE
Disney Castle,???,dc01.ard,N,0x00034A40,xa_ex_7080.mdls,Donald (Wizard) (High-Poly),FALSE
Disney Castle,???,dc01.ard,N,0x00034A80,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F7D00,xa_ex_0010.mdls,Sora,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F7D40,xa_ex_0040.mdls,Donald,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F7D80,xa_ex_0050.mdls,Goofy,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8380,xa_dc_1070.mdls,Jimminy Cricket,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F83C0,xa_ex_1031.mdls,Leon,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8400,xa_ex_1041.mdls,Yuffie,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8440,xa_ex_1140.mdls,Aerith,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8480,xa_ex_2020.mdls,Heartless Shadow,TRUE
Traverse Town,1st District,tw01.ard,N,0x001F84C0,xa_ex_1200.mdls,Moogle,FALSE
Traverse Town,1st District,tw01.ard,N,0x001F8500,xa_ex_1540.mdls,Cid,FALSE
