World,Location,Action,Item,Number,File,Use Corrected File?,Index,Offset,AP Location ID,AP Location Name
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard2.evdl,N,1,D8CD,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard2.evdl,N,2,D8D9,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard19.evdl,N,1,1F49,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard19.evdl,N,2,1F55,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ardc.evdl,N,1,B291,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ardc.evdl,N,2,B29D,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,1,5F815,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,2,5F821,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,3,6D951,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,4,6D95D,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,5,74F99,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Shop,Hit Fan,Postcard,1,tw10.ard,N,6,74FA5,2656500,Traverse Town Item Shop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard0.evdl,N,1,C3FD,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard0.evdl,N,2,C409,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard19.evdl,N,1,2031,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard19.evdl,N,2,203D,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ardc.evdl,N,1,B375,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ardc.evdl,N,2,B381,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,1,C9CC9,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,2,C9CD5,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,3,D8BB5,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,4,D8BC1,2656504,Traverse Town Item Workshop Postcard
Traverse Town,Item Workshop,Examine Poster,Postcard,1,tw12.ard,N,5,E0881,2656504,Traverse Town Item Workshop Postcard
