Enemy,Segment,File,Offset,Value (Hex),Value (Type),Value,Notes
Shadow,Header,xa_ex_2020.mdls,2BD84,65 78 5F 32 30 32 30 2E 62 64,String,ex_2020.bd,Start of stats header
Shadow,Stat Page A,xa_ex_2020.mdls,2BD94,0A 00 00 00,Int,10,HP
Shadow,Stat Page A,xa_ex_2020.mdls,2BDB0,01 00 00 00,Int,1,EXP
Shadow,Stat Page B,xa_ex_2020.mdls,2BE00,0A 00 00 00,Int,10,HP
Shadow,Stat Page B,xa_ex_2020.mdls,2BE1C,01 00 00 00,Int,1,EXP
Shadow,Stat Page C,xa_ex_2020.mdls,2BE6C,0C 00 00 00,Int,12,HP
Shadow,Stat Page C,xa_ex_2020.mdls,2BE88,01 00 00 00,Int,1,EXP
Shadow,Stat Page D,xa_ex_2020.mdls,2BED8,0C 00 00 00,Int,12,HP
Shadow,Stat Page D,xa_ex_2020.mdls,2BEF4,01 00 00 00,Int,1,EXP
Shadow,Stat Page E,xa_ex_2020.mdls,2BF44,0C 00 00 00,Int,12,HP
Shadow,Stat Page E,xa_ex_2020.mdls,2BF60,01 00 00 00,Int,1,EXP
Shadow,Stat Page F,xa_ex_2020.mdls,2BFB0,0C 00 00 00,Int,12,HP
Shadow,Stat Page F,xa_ex_2020.mdls,2BFCC,01 00 00 00,Int,1,EXP
Shadow,Stat Page G,xa_ex_2020.mdls,2C01C,12 00 00 00,Int,18,HP
Shadow,Stat Page G,xa_ex_2020.mdls,2C038,01 00 00 00,Int,1,EXP
Shadow,Stat Page H,xa_ex_2020.mdls,2C088,12 00 00 00,Int,18,HP
Shadow,Stat Page H,xa_ex_2020.mdls,2C0A4,02 00 00 00,Int,2,EXP
Shadow,Stat Page I,xa_ex_2020.mdls,2C0F4,12 00 00 00,Int,18,HP
Shadow,Stat Page I,xa_ex_2020.mdls,2C110,02 00 00 00,Int,2,EXP
Shadow,Stat Page Agrabah,xa_ex_2020.mdls,2C160,15 00 00 00,Int,21,HP
Shadow,Stat Page Agrabah,xa_ex_2020.mdls,2C17C,02 00 00 00,Int,2,EXP
Shadow,State Page Monstro,xa_ex_2020.mdls,2C1CC,24 00 00 00,Int,36,HP
Shadow,State Page Monstro,xa_ex_2020.mdls,2C1E8,04 00 00 00,Int,4,EXP
Shadow,Stat Page J,xa_ex_2020.mdls,2C238,24 00 00 00,Int,36,HP
Shadow,Stat Page J,xa_ex_2020.mdls,2C254,07 00 00 00,Int,7,EXP
Shadow,Stat Page K,xa_ex_2020.mdls,2C2A4,27 00 00 00,Int,39,HP
Shadow,Stat Page K,xa_ex_2020.mdls,2C2C0,07 00 00 00,Int,7,EXP
Shadow,Stat Page Halloween Town,xa_ex_2020.mdls,2C310,27 00 00 00,Int,39,HP
Shadow,Stat Page Halloween Town,xa_ex_2020.mdls,2C32C,06 00 00 00,Int,6,EXP
Shadow,Stat Page Neverland,xa_ex_2020.mdls,2C37C,2A 00 00 00,Int,42,HP
Shadow,Stat Page Neverland,xa_ex_2020.mdls,2C398,08 00 00 00,Int,8,EXP
Shadow,State Page L,xa_ex_2020.mdls,2C3E8,2D 00 00 00,Int,45,HP
Shadow,State Page L,xa_ex_2020.mdls,2C404,0D 00 00 00,Int,13,EXP
Shadow,Stat Page Hollow Bastion,xa_ex_2020.mdls,2C454,36 00 00 00,Int,54,HP
Shadow,Stat Page Hollow Bastion,xa_ex_2020.mdls,2C470,10 00 00 00,Int,16,EXP
Shadow,Stat Page Post Riku Ansem,xa_ex_2020.mdls,2C4C0,3C 00 00 00,Int,60,HP
Shadow,Stat Page Post Riku Ansem,xa_ex_2020.mdls,2C4DC,1E 00 00 00,Int,30,EXP
Shadow,Stat Page End of the World,xa_ex_2020.mdls,2C52C,3C 00 00 00,Int,60,HP
Shadow,Stat Page End of the World,xa_ex_2020.mdls,2C548,1E 00 00 00,Int,30,EXP
Shadow,Stat Page World of Chaos,xa_ex_2020.mdls,2C598,3C 00 00 00,Int,60,HP
Shadow,Stat Page World of Chaos,xa_ex_2020.mdls,2C5B4,1E 00 00 00,Int,30,EXP
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7C4,04 00 00 00,Int,4,Small Munny
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7C8,00 00 00 00,Int,0,Medium Munny
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7CC,00 00 00 00,Int,0,Large Munny
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7D0,01 00 00 00,Int,1,Small HP
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7D4,00 00 00 00,Int,0,Large HP
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7D8,00 00 00 00,Int,0,Small MP
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7DC,00 00 00 00,Int,0,Large MP
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7E0,0A D7 23 3C,Float,0.01,Chance Drop 1
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7E4,01 00 00 00,Int,1,Drop 1
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7E8,00 00 00 00,Float,0,Chance Drop 2
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7EC,00 00 00 00,Int,0,Drop 2
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7F0,8F C2 F5 3C,Float,0.03,Chance Drop 3
Shadow,Drop Table 1,xa_ex_2020.mdls,2C7F4,E9 00 00 00,Int,233,Drop 3
Shadow,Drop Table 2,xa_ex_2020.mdls,2C7F8,00 00 00 00,Int,0,Small Munny
Shadow,Drop Table 2,xa_ex_2020.mdls,2C7FC,00 00 00 00,Int,0,Medium Munny
Shadow,Drop Table 2,xa_ex_2020.mdls,2C800,00 00 00 00,Int,0,Large Munny
Shadow,Drop Table 2,xa_ex_2020.mdls,2C804,03 00 00 00,Int,3,Small HP
Shadow,Drop Table 2,xa_ex_2020.mdls,2C808,00 00 00 00,Int,0,Large HP
Shadow,Drop Table 2,xa_ex_2020.mdls,2C80C,00 00 00 00,Int,0,Small MP
Shadow,Drop Table 2,xa_ex_2020.mdls,2C810,00 00 00 00,Int,0,Large MP
Shadow,Drop Table 2,xa_ex_2020.mdls,2C814,00 00 00 00,Float,0,Chance Drop 1
Shadow,Drop Table 2,xa_ex_2020.mdls,2C818,00 00 00 00,Int,0,Drop 1
Shadow,Drop Table 2,xa_ex_2020.mdls,2C81C,00 00 00 00,Float,0,Chance Drop 2
Shadow,Drop Table 2,xa_ex_2020.mdls,2C820,00 00 00 00,Int,0,Drop 2
Shadow,Drop Table 2,xa_ex_2020.mdls,2C824,00 00 00 00,Float,0,Chance Drop 3
Shadow,Drop Table 2,xa_ex_2020.mdls,2C828,00 00 00 00,Int,0,Drop 3
Shadow,Drop Table 3,xa_ex_2020.mdls,2C82C,00 00 00 00,Int,0,Small Munny
Shadow,Drop Table 3,xa_ex_2020.mdls,2C830,00 00 00 00,Int,0,Medium Munny
Shadow,Drop Table 3,xa_ex_2020.mdls,2C834,00 00 00 00,Int,0,Large Munny
Shadow,Drop Table 3,xa_ex_2020.mdls,2C838,04 00 00 00,Int,4,Small HP
Shadow,Drop Table 3,xa_ex_2020.mdls,2C83C,00 00 00 00,Int,0,Large HP
Shadow,Drop Table 3,xa_ex_2020.mdls,2C840,00 00 00 00,Int,0,Small MP
Shadow,Drop Table 3,xa_ex_2020.mdls,2C844,00 00 00 00,Int,0,Large MP
Shadow,Drop Table 3,xa_ex_2020.mdls,2C848,CD CC 4C 3D,Float,0.05,Chance Drop 1
Shadow,Drop Table 3,xa_ex_2020.mdls,2C84C,01 00 00 00,Int,1,Drop 1
Shadow,Drop Table 3,xa_ex_2020.mdls,2C850,00 00 00 00,Float,0,Chance Drop 2
Shadow,Drop Table 3,xa_ex_2020.mdls,2C854,00 00 00 00,Int,0,Drop 2
Shadow,Drop Table 3,xa_ex_2020.mdls,2C858,00 00 00 00,Float,0,Chance Drop 3
Shadow,Drop Table 3,xa_ex_2020.mdls,2C85C,00 00 00 00,Int,0,Drop 3
Shadow,Drop Table 4,xa_ex_2020.mdls,2C860,00 00 00 00,Int,0,Small Munny
Shadow,Drop Table 4,xa_ex_2020.mdls,2C864,00 00 00 00,Int,0,Medium Munny
