World,Location,Action,Item,Number,File,Use Corrected File?,Index,Offset
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard2.evdl,N,1,D8C1
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard2.evdl,N,2,D8CD
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard2.evdl,N,3,D8D9
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard19.evdl,N,1,1F3D
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard19.evdl,N,2,1F49
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ard19.evdl,N,3,1F55
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ardc.evdl,N,1,B285
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ardc.evdl,N,2,B291
Traverse Town,Item Shop,Hit Fan,Postcard,1,/remastered/tw10.ard/UK_tw10_ardc.evdl,N,3,B29D
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard0.evdl,N,1,C3F1
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard0.evdl,N,2,C3FD
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard0.evdl,N,3,C409
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard19.evdl,N,1,2025
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard19.evdl,N,2,2031
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ard19.evdl,N,3,203D
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ardc.evdl,N,1,B369
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ardc.evdl,N,2,B375
Traverse Town,Item Workshop,Examine Poster,Postcard,1,/remastered/tw12.ard/UK_tw12_ardc.evdl,N,3,B381
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,1,C035
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,2,C041
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard0.evdl,N,3,C04D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,1,C071
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,2,C07D
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard10.evdl,N,3,C089
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,1,2EB5
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,2,2EC1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ard19.evdl,N,3,2ECD
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,1,C1F9
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,2,C205
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardc.evdl,N,3,C211
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,1,C0A1
Traverse Town,Gizmo Shop,Examine Clock,Postcard,1,/remastered/tw18.ard/UK_tw18_ardd.evdl,N,2,C0AD
